地名,センター,燃やせるごみ,枝・葉・草,燃やせないごみ,容器プラ,雑がみ,びん・缶・ペット
西区 八軒○条西○丁目,札幌センター1,火 金,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140419 20140514 20140611 20140709 20140806 20140903,月,20140212 20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,木
西区 八軒○条東○丁目,札幌センター1,火 金,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140419 20140514 20140611 20140709 20140806 20140903,月,20140212 20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,木
手稲区 西宮の沢○条○丁目,札幌センター1,火 金,20140501 20140529 20140626 20140724 20140821 20140918,20140220 20140320 20140417 20140515 20140612 20140710 20140807 20140904,水,20140227 20140313 20140327 20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140731 20140814 20140828 20140911 20140925,月
手稲区 富丘○条○丁目,札幌センター1,火 金,20140501 20140529 20140626 20140724 20140821 20140918,20140220 20140320 20140417 20140515 20140612 20140710 20140807 20140904,水,20140227 20140313 20140327 20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140731 20140814 20140828 20140911 20140925,月
手稲区 手稲本町○条○丁目,札幌センター1,火 金,20140501 20140529 20140626 20140724 20140821 20140918,20140220 20140320 20140417 20140515 20140612 20140710 20140807 20140904,水,20140227 20140313 20140327 20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140731 20140814 20140828 20140911 20140925,月
手稲区 手稲本町○番地,札幌センター1,火 金,20140501 20140529 20140626 20140724 20140821 20140918,20140220 20140320 20140417 20140515 20140612 20140710 20140807 20140904,水,20140227 20140313 20140327 20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140731 20140814 20140828 20140911 20140925,月
手稲区 前田○条○丁目,札幌センター1,火 金,20140526 20140623 20140721 20140818 20140915,20140217 20140317 20140414 20140512 20140609 20140707 20140804 20140901 20140929,木,20140224 20140310 20140324 20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
手稲区 曙○条○丁目（曙12条2丁目を除く）,札幌センター1,火 金,20140526 20140623 20140721 20140818 20140915,20140217 20140317 20140414 20140512 20140609 20140707 20140804 20140901 20140929,木,20140224 20140310 20140324 20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
手稲区 新発寒○条○丁目,札幌センター1,火 金,20140526 20140623 20140721 20140818 20140915,20140217 20140317 20140414 20140512 20140609 20140707 20140804 20140901 20140929, 木,20140224 20140310 20140324 20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
手稲区 手稲前田○番地,札幌センター1,火 金,20140526 20140623 20140721 20140818 20140915,20140217 20140317 20140414 20140512 20140609 20140707 20140804 20140901 20140929,木,20140224 20140310 20140324 20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
手稲区 稲穂○条○丁目,札幌センター1,火 金,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,木,20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,月
手稲区 金山○条○丁目,札幌センター1,火 金,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,木,20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,月
手稲区 手稲金山○番地,札幌センター1,火 金,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,木,20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,月
手稲区 星置○条○丁目,札幌センター1,火 金,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,木,20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,月
手稲区 星置南○丁目,札幌センター1,火 金,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,木,20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,月
手稲区 手稲山口○番地,札幌センター1,火 金,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,木,20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,月
手稲区 明日風○丁目,札幌センター1,火 金,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,木,20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,月
手稲区 曙12条2丁目,札幌センター1,火 金,20140528 20140625 20140723 20140820 20140917,20140219 20140319 20140416 20140514 20140611 20140709 20140806 20140903,木,20140226 20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,月
